,movie_name,year,ratings,votes
233,The Sound of Music,1965,8.1,266724
234,My Father and My Son,2005,8.2,94556
235,Ah-ga-ssi,2016,8.1,179220
236,To Be or Not to Be,1942,8.1,44486
237,Into the Wild,2007,8.1,666807
238,La battaglia di Algeri,1966,8.1,67183
239,The Iron Giant,1999,8.1,234608
240,Groundhog Day,1993,8.0,697440
241,The Grapes of Wrath,1940,8.1,101627
242,Amores perros,2000,8.0,256226
243,Rebecca,1940,8.1,149260
244,The Help,2011,8.1,501420
245,Cool Hand Luke,1967,8.1,191361
246,It Happened One Night,1934,8.1,114489
247,Gangs of Wasseypur,2012,8.2,105714
248,Andhadhun,2018,8.2,105498
249,Drishyam,2015,8.2,97906
